Code,Phase,Sprint,Epic,Medium,Screen,Screen name,Function,Function name,Task,エピック,中項目,タスク,Status,P/Day,Deadline,Remark,Roadmap Part,Priority,Feature ID,Depends on,Implemented in product
TSK-RMP-001,MVP,01,Part A - Product roadmap,C1 Overdue task rows,,,,,Highlight overdue task rows on Tasks sheet (deadline passed not Done),パートA - 製品ロードマップ,C1 期限切れ行,タスクシートで期限超過行をハイライト（未完了のみ）,Not started,1,,Acceptance: deadline before today and status not Done shows distinct row style; Done and empty deadline excluded; works with sticky grid; optional Overdue legend. Red team: do not flag Done as overdue.,A,1,C1,,No
TSK-RMP-002,MVP,02,Part A - Product roadmap,C3 Sprint - database,,,,,Add project_sprints table RLS and CRUD API,パートA - 製品ロードマップ,C3 スプリント - DB,project_sprints テーブル・RLS・CRUD API,Not started,3,,Acceptance: project_sprints with name dates goal status; RLS for project members only; API list create update delete. Red team: delete sprint does not delete tasks.,A,2a,C3,,No
TSK-RMP-003,MVP,02,Part A - Product roadmap,C3 Sprint - UI,,,,,Sprint management UI for PM (create edit list sprints),パートA - 製品ロードマップ,C3 スプリント - UI,PM向けスプリント管理UI（作成・編集・一覧）,Not started,3,,Depends TSK-RMP-002. Acceptance: PM can CRUD sprints per project; EN/JA names; visible on Tasks area.,A,2b,C3,TSK-RMP-002,No
TSK-RMP-004,MVP,02,Part A - Product roadmap,C3 Sprint - task assignment,,,,,Link tasks to sprint_id and migrate text sprint values,パートA - 製品ロードマップ,C3 スプリント - タスク紐付け,タスクを sprint_id に紐付け既存テキストを移行,Not started,2,,Depends TSK-RMP-002. Acceptance: task uses sprint entity not free text only; best-effort migration from sprint column.,A,2c,C3,TSK-RMP-002,No
TSK-RMP-005,MVP,03,Part A - Product roadmap,C4 Kanban board,,,,,Tasks Kanban view with drag to change status,パートA - 製品ロードマップ,C4 カンバン,タスクのカンバン表示とドラッグでステータス変更,Not started,5,,Depends TSK-RMP-004 recommended. Acceptance: columns per task status; card shows code title assignee deadline; drag updates status via API; RBAC respected; rollback on failure.,A,3,C4,TSK-RMP-004,No
TSK-RMP-006,MVP,04,Part A - Product roadmap,C5 Burndown chart,,,,,Sprint burndown chart (remaining work vs ideal line),パートA - 製品ロードマップ,C5 バーンダウン,スプリントバーンダウンチャート（残工数と理想線）,Not started,5,,Depends TSK-RMP-002. Acceptance: select sprint; chart by day; define remaining formula in code comment; EN/JA labels; empty state without sprint.,A,4,C5,TSK-RMP-002,No
TSK-RMP-007,MVP,05,Part A - Product roadmap,C6 Gantt - zoom and read,,,,,Enhance Schedule view: timeline zoom week/month and today line,パートA - 製品ロードマップ,C6 ガント - 表示,スケジュール表示のズーム（週/月）と今日線,Not started,3,,Acceptance: zoom levels on ScheduleChartView; today marker; readable JA/EN labels.,A,5a,C6,,No
TSK-RMP-008,MVP,05,Part A - Product roadmap,C6 Gantt - drag save,,,,,Gantt drag bar to update task deadline (PM),パートA - 製品ロードマップ,C6 ガント - 編集,ガントのバーをドラッグして期限を更新（PM）,Not started,5,,Depends TSK-RMP-007. Acceptance: drag end date saves deadline; date-only timezone consistent with rows.ts.,A,5b,C6,TSK-RMP-007,No
TSK-RMP-009,MVP,05,Part A - Product roadmap,C6 Gantt - start_date,,,,,Optional task start_date column and Gantt bar start,パートA - 製品ロードマップ,C6 ガント - 開始日,task start_date 列とガント開始位置,Not started,3,,Depends TSK-RMP-007. Acceptance: migration for start_date; bar uses start and end not only P/Day inference.,A,5c,C6,TSK-RMP-007,No
TSK-RMP-010,MVP,06,Part A - Product roadmap,C2 Light and dark mode,,,,,User theme toggle light/dark with persistence,パートA - 製品ロードマップ,C2 テーマ,ライト/ダークテーマ切替と保存,Not started,4,,Acceptance: toggle in header or dashboard; light theme readable; persist profile or localStorage; no flash on load. Red team: status badges and charts visible in both themes.,A,6,C2,,No
TSK-RMP-011,MVP,07,Part A - Product roadmap,C7 Sheet sync webhook,,,,,Inbound sheet sync webhook upsert rows by code with secret,パートA - 製品ロードマップ,C7 シート同期,Webhookでコード指定 upsert（共有シークレット）,Not started,8,,Acceptance: POST route with SHEET_SYNC_SECRET; uses sanitizeRowData; idempotent by task_code; sample Google Apps Script in docs. Red team: no RLS bypass; JA-only must not wipe EN.,A,7,C7,,No
TSK-RMP-012,MVP,08,Part A - Product roadmap,C8 AI task suggestions,,,,,Suggest tasks from epic/function context with user confirm before insert,パートA - 製品ロードマップ,C8 AIタスク提案,エピック/機能文脈からタスク提案（確認後に追加）,Not started,8,,Acceptance: server route with context from sheets; 3-10 proposals; user selects rows to create; no auto-insert; env API key; PII redaction documented.,A,8,C8,,No
TSK-RMP-013,v2,09,Part A - Product roadmap,C10 Billing Stripe,,,,,Stripe checkout and subscription webhooks for team plans,パートA - 製品ロードマップ,C10 課金,Stripe チェックアウトとサブスク Webhook,Not started,15,,Acceptance: replace UpgradeModal mock; stripe_customer_id on team; webhook signature verified; billing portal link for owner. Red team: no raw card storage.,A,9,C10,,No
TSK-RMP-014,v2,10,Part A - Product roadmap,C9 Sales leads CRM,,,,,Team leads pipeline and create project from Won lead,パートA - 製品ロードマップ,C9 リード管理,チームリードパイプラインと成約からプロジェクト作成,Not started,15,,Acceptance: leads table stages New to Won/Lost; RLS per team; UI under team admin; Won creates project with client prefilled.,A,10,C9,,No
TSK-RMP-015,v2,11,Part A - Product roadmap,C11 Accounting integration,,,,,Accounting OAuth and invoice sync (one provider MVP),パートA - 製品ロードマップ,C11 会計連携,会計ソフト OAuth と請求同期（1社 MVP）,Not started,15,,Depends TSK-RMP-013. Acceptance: OAuth connect; encrypted tokens; export or API push invoices; disconnect and audit log.,A,11,C11,TSK-RMP-013,No
TSK-RMP-016,MVP,12,Part G - Jira parity,W1 Work item hub,,,,,Work item comments thread per task row,パートG - Jira同等性,W1 ワークアイテム,タスク行ごとのコメントスレッド,Not started,5,,Jira gap G1/G4. Depends Part A core. Acceptance: comments table; UI drawer or panel; RBAC; EN/JA optional.,G,12,W1-01,TSK-RMP-005,No
TSK-RMP-017,MVP,12,Part G - Jira parity,W1 Work item hub,,,,,Attachments on work items (upload list download),パートG - Jira同等性,W1 ワークアイテム,ワークアイテムの添付ファイル,Not started,5,,Depends TSK-RMP-016. Acceptance: storage-backed attachments; size limits; virus scan hook optional.,G,13,W1-02,TSK-RMP-016,No
TSK-RMP-018,MVP,12,Part G - Jira parity,W1 Work item hub,,,,,Watchers and activity history per item,パートG - Jira同等性,W1 ワークアイテム,ウォッチャーと変更履歴,Not started,5,,Acceptance: watch/unwatch; history shows field changes user timestamp.,G,14,W1-03,TSK-RMP-016,No
TSK-RMP-019,MVP,13,Part G - Jira parity,W2 Workflow admin,,,,,Workflow definitions and transitions per project,パートG - Jira同等性,W2 ワークフロー,プロジェクトごとの状態と遷移定義,Not started,8,,Jira gap G2. Acceptance: admin UI; states transitions; validate on status change.,G,15,W2-01,,No
TSK-RMP-020,MVP,13,Part G - Jira parity,W2 Workflow admin,,,,,Role permissions on workflow transitions,パートG - Jira同等性,W2 ワークフロー,遷移ごとのロール権限,Not started,5,,Depends TSK-RMP-019. Acceptance: dev/pm/client rules enforced server-side.,G,16,W2-02,TSK-RMP-019,No
TSK-RMP-021,MVP,14,Part G - Jira parity,W3 Notifications,,,,,Notification events and in-app inbox,パートG - Jira同等性,W3 通知,通知イベントとアプリ内受信箱,Not started,8,,Jira gap G7. Acceptance: events on assign status due; inbox UI; mark read.,G,17,W3-01,,No
TSK-RMP-022,MVP,14,Part G - Jira parity,W3 Notifications,,,,,Email notifications and user preferences,パートG - Jira同等性,W3 通知,メール通知とユーザー設定,Not started,5,,Depends TSK-RMP-021. Acceptance: opt-in per event type; email provider integrated.,G,18,W3-02,TSK-RMP-021,No
TSK-RMP-023,MVP,15,Part G - Jira parity,W4 Search and filters,,,,,Saved filters and cross-project task search (JQL-lite MVP),パートG - Jira同等性,W4 検索,保存フィルターと横断タスク検索,Not started,8,,Jira gap G4. Acceptance: save filter; query status assignee sprint text; results link to row.,G,19,W4-01,TSK-RMP-005,No
TSK-RMP-024,MVP,16,Part G - Jira parity,W5 Agile pack,,,,,Backlog rank independent of sheet row order,パートG - Jira同等性,W5 アジャイル,バックログ順位（行順と独立）,Not started,3,,Jira gap G5. Acceptance: rank field; drag reorder in backlog view.,G,20,W5-01,,No
TSK-RMP-025,MVP,16,Part G - Jira parity,W5 Agile pack,,,,,Complete sprint flow with spillover handling,パートG - Jira同等性,W5 アジャイル,スプリント完了と持ち越し,Not started,5,,Depends TSK-RMP-004. Acceptance: close sprint; move incomplete tasks; report.,G,21,W5-02,TSK-RMP-004,No
TSK-RMP-026,MVP,16,Part G - Jira parity,W5 Agile pack,,,,,Kanban WIP limits and swimlanes,パートG - Jira同等性,W5 アジャイル,カンバン WIP 上限とスイムレーン,Not started,5,,Depends TSK-RMP-005. Acceptance: configure WIP per column; lanes by assignee or epic.,G,22,W5-03,TSK-RMP-005,No
TSK-RMP-027,MVP,16,Part G - Jira parity,W5 Agile pack,,,,,Velocity and cumulative flow reports,パートG - Jira同等性,W5 アジャイル,ベロシティと累積フロー,Not started,8,,Depends TSK-RMP-006. Acceptance: charts per sprint or date range; document metrics formulas.,G,23,W5-04,TSK-RMP-006,No
TSK-RMP-028,MVP,17,Part G - Jira parity,W6 Integrations,,,,,Outbound webhooks on task events,パートG - Jira同等性,W6 連携,タスクイベントの送信 Webhook,Not started,5,,Jira gap G8. Acceptance: team configures URL and secret; events status assign create.,G,24,W6-01,,No
TSK-RMP-029,MVP,17,Part G - Jira parity,W6 Integrations,,,,,GitHub PR linking to task code,パートG - Jira同等性,W6 連携,GitHub PR とタスクコード連携,Not started,8,,Depends TSK-RMP-028. Acceptance: link PR in UI or via webhook; show PR list on task detail.,G,25,W6-02,TSK-RMP-028,No
TSK-RMP-030,MVP,17,Part G - Jira parity,W6 Integrations,,,,,Slack notifications for assignments and mentions,パートG - Jira同等性,W6 連携,Slack 通知（担当・メンション）,Not started,5,,Depends TSK-RMP-021. Acceptance: channel mapping per team; opt-in.,G,26,W6-03,TSK-RMP-021,No
TSK-RMP-031,actual_performance,18,Part G - Jira parity,W7 Enterprise,,,,,SAML SSO for team workspaces,パートG - Jira同等性,W7 エンタープライズ,チーム向け SAML SSO,Not started,15,,Jira gap G3/G10. Acceptance: IdP metadata; login flow; map to profiles.,G,27,W7-01,,No
TSK-RMP-032,actual_performance,18,Part G - Jira parity,W7 Enterprise,,,,,Admin config audit log,パートG - Jira同等性,W7 エンタープライズ,管理設定の監査ログ,Not started,5,,Acceptance: log workflow permission scheme changes; viewer for team admin.,G,28,W7-02,,No
TSK-RMP-033,actual_performance,18,Part G - Jira parity,W7 Enterprise,,,,,Scale program load tests and pagination audit,パートG - Jira同等性,W7 エンタープライズ,負荷試験とページネーション監査,Not started,8,,Jira gap G10. Acceptance: document targets; fix hot paths in GenericSheet and search.,G,29,W7-03,,No
TSK-RMP-034,actual_performance,18,Part G - Jira parity,W7 Enterprise,,,,,Jira migration import tool (CSV mapping MVP),パートG - Jira同等性,W7 エンタープライズ,Jira からの移行インポート MVP,Not started,10,,Acceptance: map Jira export columns to task_rows; doc limitations.,G,30,W7-04,,No
TSK-RMP-035,MVP,19,Part G - Jira parity,G1 Issue links,,,,,Issue link types blocks relates duplicate (MVP),パートG - Jira同等性,G1 課題リンク,blocks / relates / duplicate リンク MVP,Not started,8,,Jira gap G1. Depends W1. Acceptance: link table; UI pick linked task; show on detail.,G,31,G1-01,TSK-RMP-016,No
TSK-RMP-036,MVP,19,Part G - Jira parity,G6 Portfolio,,,,,Cross-project program roadmap view,パートG - Jira同等性,G6 ポートフォリオ,複数プロジェクトのロードマップ,Not started,10,,Jira gap G6. Acceptance: program entity; timeline of epics across projects.,G,32,G6-01,TSK-RMP-008,No
TSK-RMP-037,MVP,20,Part G - Jira parity,G8 Automation rules,,,,,When/if automation rule builder MVP,パートG - Jira同等性,G8 自動化,条件付きルールビルダー MVP,Not started,10,,Jira gap G8. Depends W6. Acceptance: one trigger one action; audit executions.,G,33,G8-01,TSK-RMP-028,No
TSK-RMP-038,MVP,20,Part G - Jira parity,G9 Worklogs,,,,,Worklogs per task and remaining estimate roll-up,パートG - Jira同等性,G9 工数ログ,タスク別作業ログと残見積もり集計,Not started,8,,Jira gap G9. Acceptance: log time; show spent vs person_day; PM report.,G,34,G9-01,TSK-RMP-016,No
